,SN,Commodity,Date,Unit,Average
0,0,Tomato Big(Nepali),2013-06-16,Kg,37.5
1,1,Tomato Small(Local),2013-06-16,Kg,29.0
2,2,Potato Red,2013-06-16,Kg,20.5
3,3,Potato White,2013-06-16,Kg,15.5
4,4,Onion Dry (Indian),2013-06-16,Kg,29.0
5,5,Carrot(Local),2013-06-16,Kg,32.5
6,6,Cabbage(Local),2013-06-16,Kg,8.0
7,7,Cauli Local,2013-06-16,Kg,32.5
8,8,Raddish Red,2013-06-16,Kg,37.5
9,9,Raddish White(Local),2013-06-16,Kg,27.5
10,10,Brinjal Long,2013-06-16,Kg,17.0
11,11,Brinjal Round,2013-06-16,Kg,21.0
12,12,Cow pea(Long),2013-06-16,Kg,22.5
13,13,Green Peas,2013-06-16,Kg,57.5
14,14,French Bean(Local),2013-06-16,Kg,27.5
15,15,Soyabean Green,2013-06-16,Kg,65.0
16,16,Bitter Gourd,2013-06-16,Kg,15.0
17,17,Bottle Gourd,2013-06-16,Kg,17.5
18,18,Pointed Gourd(Local),2013-06-16,Kg,32.5
19,19,Snake Gourd,2013-06-16,Kg,27.5
20,20,Smooth Gourd,2013-06-16,Kg,22.5
21,21,Sponge Gourd,2013-06-16,Kg,47.5
22,22,Pumpkin,2013-06-16,Kg,19.0
23,23,Squash(Long),2013-06-16,Kg,32.5
24,24,Turnip,2013-06-16,Kg,47.5
25,25,Okara,2013-06-16,Kg,22.5
26,26,Christophine,2013-06-16,Kg,39.0
27,27,Brd Leaf Mustard,2013-06-16,Kg,47.5
28,28,Spinach Leaf,2013-06-16,Kg,52.5
29,29,Cress Leaf,2013-06-16,Kg,57.5
30,30,Mustard Leaf,2013-06-16,Kg,42.5
31,31,Fenugreek Leaf,2013-06-16,Kg,57.5
32,32,Onion Green,2013-06-16,Kg,42.5
33,33,Mushroom(Kanya),2013-06-16,Kg,155.0
34,34,Asparagus,2013-06-16,Kg,125.0
35,35,Neuro,2013-06-16,Kg,55.0
36,36,Brocauli,2013-06-16,Kg,75.0
37,37,Sugarbeet,2013-06-16,Kg,37.5
38,38,Drumstick,2013-06-16,Kg,37.5
39,39,Red Cabbbage,2013-06-16,Kg,75.0
40,40,Lettuce,2013-06-16,Kg,57.5
41,41,Celery,2013-06-16,Kg,125.0
42,42,Parseley,2013-06-16,Kg,185.0
43,43,Fennel Leaf,2013-06-16,Kg,75.0
44,44,Mint,2013-06-16,Kg,125.0
45,45,Turnip A,2013-06-16,Kg,42.5
46,46,Tamarind,2013-06-16,Kg,67.5
47,47,Bamboo Shoot,2013-06-16,Kg,55.0
48,48,Tofu,2013-06-16,Kg,57.5
49,49,Gundruk,2013-06-16,Kg,185.0
50,50,Apple(Jholey),2013-06-16,Kg,110.0
51,51,Banana,2013-06-16,Doz,75.0
52,52,Lime,2013-06-16,Kg,300.0
53,53,Pomegranate,2013-06-16,Kg,210.0
54,54,Mango(Maldah),2013-06-16,Kg,55.0
55,55,Grapes(Green),2013-06-16,Kg,255.0
56,56,Water Melon(Green),2013-06-16,Kg,16.5
57,57,Sweet Orange,2013-06-16,Kg,95.0
58,58,Pineapple,2013-06-16,1 Pc,65.0
59,59,Cucumber(Local),2013-06-16,Kg,27.5
60,60,Jack Fruit,2013-06-16,Kg,22.5
61,61,Papaya(Nepali),2013-06-16,Kg,65.0
62,62,Sugarcane,2013-06-16,1 Pc,55.0
63,63,Ginger,2013-06-16,Kg,145.0
64,64,Chilli Dry,2013-06-16,Kg,175.0
65,65,Chilli Green,2013-06-16,Kg,35.0
66,66,Capsicum,2013-06-16,Kg,57.5
67,67,Garlic Green,2013-06-16,Kg,47.5
68,68,Coriander Green,2013-06-16,Kg,100.0
69,69,Garlic Dry Chinese,2013-06-16,Kg,105.0
70,70,Garlic Dry Nepali,2013-06-16,Kg,55.0
71,71,Clive Dry,2013-06-16,Kg,75.0
72,72,Clive Green,2013-06-16,Kg,75.0
73,73,Fish Fresh,2013-06-16,Kg,215.0
74,74,Tomato Big(Nepali),2013-06-17,Kg,27.5
75,75,Tomato Small(Local),2013-06-17,Kg,22.5
76,76,Potato Red,2013-06-17,Kg,20.5
77,77,Potato White,2013-06-17,Kg,15.5
78,78,Onion Dry (Indian),2013-06-17,Kg,29.5
79,79,Carrot(Local),2013-06-17,Kg,37.5
80,80,Cabbage(Local),2013-06-17,Kg,8.0
81,81,Cauli Local,2013-06-17,Kg,27.5
82,82,Raddish Red,2013-06-17,Kg,37.5
83,83,Raddish White(Local),2013-06-17,Kg,32.5
84,84,Brinjal Long,2013-06-17,Kg,19.0
85,85,Brinjal Round,2013-06-17,Kg,27.5
86,86,Cow pea(Long),2013-06-17,Kg,22.5
87,87,Green Peas,2013-06-17,Kg,57.5
88,88,French Bean(Local),2013-06-17,Kg,32.5
89,89,Soyabean Green,2013-06-17,Kg,57.5
90,90,Bitter Gourd,2013-06-17,Kg,18.0
91,91,Bottle Gourd,2013-06-17,Kg,19.0
92,92,Pointed Gourd(Local),2013-06-17,Kg,32.5
93,93,Snake Gourd,2013-06-17,Kg,32.5
94,94,Smooth Gourd,2013-06-17,Kg,17.5
95,95,Sponge Gourd,2013-06-17,Kg,47.5
96,96,Pumpkin,2013-06-17,Kg,19.0
97,97,Squash(Long),2013-06-17,Kg,22.5
98,98,Okara,2013-06-17,Kg,20.0
99,99,Christophine,2013-06-17,Kg,37.5
100,100,Brd Leaf Mustard,2013-06-17,Kg,42.5
101,101,Spinach Leaf,2013-06-17,Kg,47.5
102,102,Cress Leaf,2013-06-17,Kg,42.5
103,103,Mustard Leaf,2013-06-17,Kg,37.5
104,104,Fenugreek Leaf,2013-06-17,Kg,42.5
105,105,Onion Green,2013-06-17,Kg,42.5
106,106,Mushroom(Kanya),2013-06-17,Kg,190.0
107,107,Asparagus,2013-06-17,Kg,125.0
108,108,Neuro,2013-06-17,Kg,55.0
109,109,Brocauli,2013-06-17,Kg,75.0
110,110,Sugarbeet,2013-06-17,Kg,37.5
111,111,Drumstick,2013-06-17,Kg,47.5
112,112,Red Cabbbage,2013-06-17,Kg,65.0
113,113,Lettuce,2013-06-17,Kg,47.5
114,114,Celery,2013-06-17,Kg,125.0
115,115,Parseley,2013-06-17,Kg,185.0
116,116,Fennel Leaf,2013-06-17,Kg,42.5
117,117,Mint,2013-06-17,Kg,125.0
118,118,Turnip A,2013-06-17,Kg,47.5
119,119,Tamarind,2013-06-17,Kg,67.5
120,120,Bamboo Shoot,2013-06-17,Kg,55.0
121,121,Tofu,2013-06-17,Kg,57.5
122,122,Gundruk,2013-06-17,Kg,195.0
123,123,Apple(Jholey),2013-06-17,Kg,120.0
124,124,Banana,2013-06-17,Doz,75.0
125,125,Lime,2013-06-17,Kg,300.0
126,126,Pomegranate,2013-06-17,Kg,210.0
127,127,Mango(Maldah),2013-06-17,Kg,55.0
128,128,Grapes(Green),2013-06-17,Kg,255.0
129,129,Water Melon(Green),2013-06-17,Kg,15.0
130,130,Sweet Orange,2013-06-17,Kg,95.0
131,131,Pineapple,2013-06-17,1 Pc,65.0
132,132,Cucumber(Local),2013-06-17,Kg,27.5
133,133,Jack Fruit,2013-06-17,Kg,22.5
134,134,Papaya(Nepali),2013-06-17,Kg,65.0
135,135,Sugarcane,2013-06-17,1 Pc,65.0
136,136,Ginger,2013-06-17,Kg,145.0
137,137,Chilli Dry,2013-06-17,Kg,175.0
138,138,Chilli Green,2013-06-17,Kg,35.0
139,139,Capsicum,2013-06-17,Kg,57.5
140,140,Garlic Green,2013-06-17,Kg,47.5
141,141,Coriander Green,2013-06-17,Kg,95.0
142,142,Garlic Dry Chinese,2013-06-17,Kg,105.0
143,143,Garlic Dry Nepali,2013-06-17,Kg,55.0
144,144,Clive Dry,2013-06-17,Kg,75.0
